Fund name,Symbol,YTD as of 01/12/2024,1 year Average annual total returns as of 12/31/2023,3 year Average annual total returns as of 12/31/2023,5 year Average annual total returns as of 12/31/2023,10 year Average annual total returns as of 12/31/2023,Since inception Average annual total returns as of 12/31/2023,Expense ratio,SEC yield,Distribution,Dividend,Benchmark
500 Index Fund Admiral Shares,VFIAX,0.34%,26.24%,9.96%,15.65%,11.99%,7.62% (11/13/2000),0.04%,"1.42% B ",---,1.52%,S&P 500 Index
Baillie Gifford Global Positive Impact Stock Fund Investor Shares,VBPIX,-1.39%,15.26%,-4.26%,16.61%,---,13.73% (12/14/2017),0.59%,"0.19% B ",---,1.01%,MSCI All Country World Index Net
Balanced Index Fund Admiral Shares,VBIAX,-0.13%,17.58%,3.73%,9.61%,7.73%,6.57% (11/13/2000),0.07%,"2.51% B ",---,1.49%,Balanced Composite Index
California Intermediate-Term Tax-Exempt Fund Admiral Shares,VCADX,0.00%,5.80%,-0.13%,2.20%,2.83%,3.47% (11/12/2001),0.09%,"2.98% A ",2.68%,---,Bloomberg Municipal California Intermediate Bond Index
California Long-Term Tax-Exempt Fund Admiral Shares,VCLAX,0.01%,7.59%,-0.41%,2.53%,3.63%,3.92% (11/12/2001),0.09%,"3.36% A ",3.18%,---,Bloomberg CA Municipal Bond Index
California Municipal Money Market Fund,VCTXX,0.07%,2.58%,1.17%,1.03%,0.73%,2.07% (06/01/1987),0.16%,"1.47% C ",2.95%,---,California Tax-Exempt Money Market Funds Average
Capital Opportunity Fund Admiral Shares CLOSED,VHCAX,-0.25%,25.61%,7.88%,14.45%,12.69%,11.29% (11/12/2001),0.36%,"0.75% B ",---,0.94%,Russell Midcap Growth Index
Commodity Strategy Fund Admiral Shares,VCMDX,-0.61%,-7.46%,12.56%,---,---,10.08% (06/25/2019),0.21%,"2.31% B ",---,---,Bloomberg Commodity Index Total Return
Communication Services ETF,VOX,1.07%,44.72%,0.27%,10.73%,5.56%,7.16% (09/23/2004),0.10%,"0.83% B ",---,0.95%,MSCI US Investable Market Communication Services 25/50 Index
Communication Services Index Fund Admiral Shares,VTCAX,1.07%,44.72%,0.27%,10.73%,5.57%,6.96% (03/11/2005),0.10%,"0.83% B ",---,0.95%,MSCI US Investable Market Communication Services 25/50 Index
